Имя испытания	Режим испытания	Тип испытания	Заголовок1	Комментарий1	Ключвое слово	Наименование продукта	Имя файла испытания	Имя файла метода	Дата отчета	Дата испытания	Режим испытания	Тип испытания	Скорость	Форма	Серия:	Части серии:
3-1.xtas	Одиночный	Растяжение	Заголовок	Комментарий	 	 	3-1.xtas	метод.xmas	27.05.2021	27.05.2021	Одиночный	Растяжение	1мм/мин	Плоская	1	1

Форма:	Серия:	Часть серии:
Плоская	1	1
Имя	Толщина	Ширина	Длина базы измерения
Размерность:	мм	мм	мм
1 _ 1	4,0000	10,0000	120,0000

Имя	Удлинение1_Ход	Удлинение1_Удлинение
Параметр	Сила 1 Н	Сила 1 Н
Единица	мм	мм
1 _ 1	0,00567	0,00567

1 _ 1	
Время	Сила	Ход
сек	Н	мм
0	0,1160304	3,333333E-05
0,01	0,1462301	0,0001
0,02	0,1319249	0,0002333333
0,03	0,09218851	0,0005
0,04	0,07311503	0,0007
0,05	0,0778834	0,0008666667
0,06	0,08424123	0,001033333
0,07	0,0667572	0,0012
0,08	0,04609426	0,001366667
0,09	0,03496806	0,001533333
0,1	0,03973643	0,0017
0,11	0,055631	0,001866667
0,12	0,0667572	0,002033333
0,13	0,0667572	0,0022
0,14	0,06198883	0,002366667
0,15	0,0778834	0,002533333
0,16	0,1080831	0,0027
0,17	0,1160304	0,002866667
0,18	0,0778834	0,003
0,19	0,03178914	0,003166667
0,2	0,02861023	0,003333333
0,21	0,08583069	0,003533333
0,22	0,1573563	0,0037
0,23	0,1970927	0,003866667
0,24	0,222524	0,004033333
0,25	0,2717972	0,0042
0,26	0,3608068	0,004366667
0,27	0,4641215	0,004533333
0,28	0,5515416	0,0047
0,29	0,6103516	0,004866667
0,3	0,6596248	0,005033333
0,31	0,7311503	0,0052
0,32	0,8249283	0,005366667
0,33	0,928243	0,005533333
0,34	1,015663	0,0057
0,35	1,08401	0,005866667
0,36	1,153946	0,006033333
0,37	1,23024	0,0062
0,38	1,314481	0,006366667
0,39	1,40508	0,006533334
0,4	1,502037	0,0067
0,41	1,584689	0,006866667
0,42	1,643499	0,007066667
0,43	1,707077	0,0072
0,44	1,799266	0,007366667
0,45	1,915296	0,007533333
0,46	2,02179	0,0077
0,47	2,090136	0,007866667
0,48	2,133052	0,008033333
0,49	2,187093	0,0082
0,5	2,279282	0,008366667
0,51	2,404849	0,008533333
0,52	2,524058	0,0087
0,53	2,603531	0,008866667
0,54	2,66393	0,009033334
0,55	2,730687	0,009233333
0,56	2,821286	0,0094
0,57	2,916654	0,009533334
0,58	3,000895	0,0097
0,59	3,081958	0,009866667
0,6	3,170967	0,01003333
0,61	3,28064	0,0102
0,62	3,388723	0,01036667
0,63	3,465017	0,01053333
0,64	3,519058	0,0107
0,65	3,579458	0,01086667
0,66	3,663699	0,01103333
0,67	3,759066	0,0112
0,68	3,851255	0,01136667
0,69	3,929138	0,01153333
0,7	3,995895	0,0117
0,71	4,057884	0,01186667
0,72	4,130999	0,01203333
0,73	4,226367	0,0122
0,74	4,337629	0,01236667
0,75	4,455248	0,01253333
0,76	4,566511	0,0127
0,77	4,666646	0,01286667
0,78	4,734993	0,01303333
0,79	4,769961	0,0132
0,8	4,796982	0,01336667
0,81	4,858971	0,01353333
0,82	4,965464	0,0137
0,83	5,079905	0,01386667
0,84	5,18322	0,01403333
0,85	5,27064	0,0142
0,86	5,343755	0,01436667
0,87	5,400976	0,01453333
0,88	5,462965	0,0147
0,89	5,551974	0,01486667
0,9	5,672773	0,01503333
0,91	5,788803	0,0152
0,92	5,884171	0,01536667
0,93	5,963644	0,01553333
0,94	6,047884	0,0157
0,95	6,140073	0,01586667
0,96	6,227493	0,01603333
0,97	6,29743	0,0162
0,98	6,370544	0,01636667
0,99	6,453196	0,01653333
1	6,542206	0,0167
1,01	6,634394	0,01686667
1,02	6,73453	0,01703333
1,03	6,825129	0,0172
1,04	6,903013	0,01736667
1,05	6,977717	0,01753333
1,06	7,061958	0,0177
1,07	7,150968	0,01786667
1,08	7,246336	0,01803333
1,09	7,346471	0,0182
1,1	7,446607	0,01836667
1,11	7,52608	0,01853333
1,12	7,586479	0,0187
1,13	7,656415	0,01886667
1,14	7,748604	0,01903333
1,15	7,84715	0,0192
1,16	7,925034	0,01936667
1,17	7,996559	0,01953333
1,18	8,08398	0,0197
1,19	8,188884	0,01986667
1,2	8,284251	0,02003333
1,21	8,349419	0,0202
1,22	8,395513	0,0204
1,23	8,467038	0,02053333
1,24	8,583069	0,0207
1,25	8,730888	0,02086667
1,26	8,846919	0,02103333
1,27	8,893013	0,02123333
1,28	8,888245	0,0214
1,29	8,912086	0,02153333
1,3	9,021759	0,0217
1,31	9,182294	0,02186667
1,32	9,314219	0,02206667
1,33	9,379387	0,0222
1,34	9,415944	0,02236667
1,35	9,492238	0,02253333
1,36	9,616216	0,0227
1,37	9,738605	0,02286667
1,38	9,811719	0,02303333
1,39	9,849866	0,0232
1,4	9,913445	0,02336667
1,41	10,03583	0,02353333
1,42	10,18683	0,0237
1,43	10,29809	0,02386667
1,44	10,34578	0,02403333
1,45	10,36644	0,0242
1,46	10,43002	0,02436667
1,47	10,54605	0,02453333
1,48	10,67321	0,0247
1,49	10,7638	0,02486667
1,5	10,80513	0,02503333
1,51	10,84328	0,0252
1,52	10,92752	0,02536667
1,53	11,05785	0,02553333
1,54	11,19614	0,0257
1,55	11,29309	0,02586667
1,56	11,35349	0,02603333
1,57	11,41389	0,0262
1,58	11,52515	0,02636667
1,59	11,66821	0,02653333
1,6	11,76993	0,0267
1,61	11,79377	0,02686667
1,62	11,80013	0,02703333
1,63	11,85894	0,0272
1,64	11,97656	0,02736667
1,65	12,09895	0,02753333
1,66	12,17683	0,0277
1,67	12,22134	0,02786667
1,68	12,27697	0,02803333
1,69	12,38028	0,0282
1,7	12,5138	0,02836667
1,71	12,63459	0,02853333
1,72	12,70453	0,0287
1,73	12,74268	0,02886667
1,74	12,80308	0,02906667
1,75	12,90639	0,0292
1,76	13,03355	0,02936667
1,77	13,13369	0,02953333
1,78	13,19885	0,0297
1,79	13,2513	0,02986667
1,8	13,31011	0,03003333
1,81	13,38641	0,0302
1,82	13,47383	0,03036667
1,83	13,56602	0,03053333
1,84	13,65662	0,0307
1,85	13,73768	0,03086667
1,86	13,83305	0,03103333
1,87	13,93795	0,0312
1,88	14,02537	0,03136667
1,89	14,08259	0,03153333
1,9	14,14299	0,0317
1,91	14,23836	0,03186667
1,92	14,36551	0,03203334
1,93	14,49108	0,0322
1,94	14,58804	0,03236667
1,95	14,65638	0,03253333
1,96	14,6993	0,0327
1,97	14,74857	0,03286667
1,98	14,82169	0,03303333
1,99	14,92818	0,0332
2	15,04262	0,03336667
2,01	15,13004	0,03353333
2,02	15,18885	0,03373333
2,03	15,26515	0,03386667
2,04	15,37959	0,03403333
2,05	15,4988	0,0342
2,06	15,58304	0,03436667
2,07	15,64344	0,03453333
2,08	15,71019	0,03473333
2,09	15,80556	0,03486667
2,1	15,91682	0,03503333
2,11	16,01219	0,0352
2,12	16,08372	0,03536667
2,13	16,13458	0,03553334
2,14	16,19498	0,0357
2,15	16,28717	0,03586667
2,16	16,40161	0,03603333
2,17	16,49698	0,0362
2,18	16,55579	0,03636667
2,19	16,61142	0,03653333
2,2	16,70043	0,0367
2,21	16,81805	0,03686667
2,22	16,92613	0,03703333
2,23	16,99924	0,0372
2,24	17,06123	0,03736667
2,25	17,15183	0,03753334
2,26	17,26627	0,0377
2,27	17,36641	0,03786667
2,28	17,43158	0,03803333
2,29	17,48085	0,0382
2,3	17,54284	0,03836667
2,31	17,63821	0,03853333
2,32	17,74629	0,0387
2,33	17,85596	0,03886667
2,34	17,94497	0,03903333
2,35	18,0165	0,0392
2,36	18,08643	0,03936667
2,37	18,16908	0,03953333
2,38	18,26127	0,0397
2,39	18,35028	0,03986667
2,4	18,4536	0,04003333
2,41	18,56804	0,0402
2,42	18,67135	0,04036667
2,43	18,74924	0,04053333
2,44	18,81758	0,0407
2,45	18,90024	0,04086667
2,46	18,99719	0,04103334
2,47	19,08779	0,0412
2,48	19,17203	0,04136667
2,49	19,25627	0,04153333
2,5	19,34052	0,0417
2,51	19,42158	0,04186667
2,52	19,49151	0,04203333
2,53	19,56304	0,0422
2,54	19,63933	0,04236667
2,55	19,73947	0,04253333
2,56	19,86504	0,0427
2,57	19,98901	0,04286667
2,58	20,07961	0,04303334
2,59	20,13683	0,0432
2,6	20,19087	0,04336667
2,61	20,26081	0,04353333
2,62	20,34823	0,0437
2,63	20,44042	0,04386667
2,64	20,54373	0,04403333
2,65	20,64546	0,0442
2,66	20,73129	0,04436667
2,67	20,79646	0,04453333
2,68	20,84891	0,0447
2,69	20,91726	0,04486667
2,7	21,01421	0,04503334
2,71	21,13183	0,0452
2,72	21,23674	0,04536667
2,73	21,32416	0,04553333
2,74	21,40045	0,0457
2,75	21,47675	0,04586667
2,76	21,55463	0,04603333
2,77	21,63728	0,0462
2,78	21,73265	0,04636667
2,79	21,83278	0,04653334
2,8	21,9361	0,0467
2,81	22,03941	0,04686667
2,82	22,12842	0,04703333
2,83	22,20472	0,0472
2,84	22,28101	0,04736667
2,85	22,36525	0,04753333
2,86	22,44949	0,0477
2,87	22,53056	0,04786667
2,88	22,60685	0,04803333
2,89	22,67838	0,0482
2,9	22,75944	0,04836667
2,91	22,87388	0,04853334
2,92	23,00104	0,04873333
2,93	23,11071	0,04886667
2,94	23,18382	0,04903333
2,95	23,23469	0,0492
2,96	23,30939	0,04936667
2,97	23,41747	0,04953333
2,98	23,53668	0,0497
2,99	23,62728	0,04986667
3	23,69404	0,05003333
3,01	23,76556	0,0502
3,02	23,86093	0,05036667
3,03	23,96902	0,05053334
3,04	24,06756	0,0507
3,05	24,1518	0,05086667
3,06	24,22968	0,05103333
3,07	24,32028	0,0512
