Имя испытания	Режим испытания	Тип испытания	Заголовок1	Комментарий1	Ключвое слово	Наименование продукта	Имя файла испытания	Имя файла метода	Дата отчета	Дата испытания	Режим испытания	Тип испытания	Скорость	Форма	Серия:	Части серии:
6-9.xtas	Одиночный	Растяжение	Заголовок	Комментарий	 	 	6-9.xtas	 	27.05.2021	27.05.2021	Одиночный	Растяжение	1мм/мин	Плоская	1	1

Форма:	Серия:	Часть серии:
Плоская	1	1
Имя	Толщина	Ширина	Длина базы измерения
Размерность:	мм	мм	мм
1 _ 1	4,0000	10,0000	120,0000

Имя	Удлинение1_Ход	Удлинение1_Удлинение
Параметр	Сила 1 Н	Сила 1 Н
Единица	мм	мм
1 _ 1	0,00200	0,00200

1 _ 1	
Время	Сила	Ход
сек	Н	мм
0	0,2082189	3,333333E-05
0,01	0,2193451	0,0001333333
0,02	0,2193451	0,0003666667
0,03	0,1970927	0,0005666667
0,04	0,1811981	0,0007333333
0,05	0,2034505	0,0009
0,06	0,2876917	0,001066667
0,07	0,4259745	0,001233333
0,08	0,5722046	0,0014
0,09	0,6898244	0,001566667
0,1	0,7851918	0,001733333
0,11	0,9044011	0,0019
0,12	1,061757	0,002066667
0,13	1,236598	0,002233333
0,14	1,393954	0,0024
0,15	1,521111	0,002566667
0,16	1,643499	0,002733333
0,17	1,769066	0,0029
0,18	1,90417	0,003066667
0,19	2,040863	0,003233333
0,2	2,174377	0,0034
0,21	2,309481	0,003566667
0,22	2,462069	0,003733333
0,23	2,625783	0,0039
0,24	2,783139	0,004066667
0,25	2,92937	0,004233333
0,26	3,067652	0,0044
0,27	3,209114	0,004566667
0,28	3,353755	0,004733333
0,29	3,48409	0,0049
0,3	3,606478	0,005066667
0,31	3,732045	0,005233333
0,32	3,863971	0,0054
0,33	3,997485	0,005566667
0,34	4,130999	0,005733334
0,35	4,264513	0,0059
0,36	4,407565	0,006066667
0,37	4,552206	0,006233334
0,38	4,682541	0,0064
0,39	4,804929	0,006566667
0,4	4,933675	0,006733333
0,41	5,071958	0,0069
0,42	5,215009	0,007066667
0,43	5,354881	0,007233333
0,44	5,485217	0,0074
0,45	5,607605	0,007566667
0,46	5,73953	0,007733333
0,47	5,892118	0,007900001
0,48	6,059011	0,008066666
0,49	6,202062	0,008233333
0,5	6,32445	0,0084
0,51	6,443659	0,008566666
0,52	6,573995	0,008733333
0,53	6,721815	0,0089
0,54	6,875992	0,009066666
0,55	7,025401	0,009233333
0,56	7,166862	0,0094
0,57	7,289251	0,009566667
0,58	7,400513	0,009733333
0,59	7,507006	0,0099
0,6	7,629395	0,01006667
0,61	7,774035	0,01023333
0,62	7,93616	0,0104
0,63	8,103053	0,01056667
0,64	8,249283	0,01073333
0,65	8,379619	0,0109
0,66	8,498828	0,01106667
0,67	8,621216	0,01123333
0,68	8,749962	0,0114
0,69	8,888245	0,01156667
0,7	9,034474	0,01173333
0,71	9,179115	0,0119
0,72	9,325345	0,01206667
0,73	9,477933	0,01223333
0,74	9,627342	0,0124
0,75	9,765625	0,01256667
0,76	9,902318	0,01273333
0,77	10,04855	0,0129
0,78	10,20432	0,01306667
0,79	10,33942	0,01323333
0,8	10,45704	0,0134
0,81	10,58102	0,01356667
0,82	10,71453	0,01373333
0,83	10,85599	0,0139
0,84	11,00063	0,01406667
0,85	11,13415	0,01423333
0,86	11,24541	0,0144
0,87	11,35667	0,01456667
0,88	11,49178	0,01473333
0,89	11,64913	0,0149
0,9	11,81285	0,01506667
0,91	11,95749	0,01523333
0,92	12,09577	0,0154
0,93	12,23087	0,01556667
0,94	12,37075	0,01573333
0,95	12,50903	0,0159
0,96	12,64413	0,01606667
0,97	12,77447	0,01623333
0,98	12,90798	0,0164
0,99	13,04626	0,01656667
1	13,20203	0,01673333
1,01	13,35462	0,0169
1,02	13,48972	0,01706667
1,03	13,61211	0,01723333
1,04	13,74086	0,0174
1,05	13,87119	0,01756667
1,06	14,01265	0,01773333
1,07	14,15889	0,0179
1,08	14,29399	0,0181
1,09	14,41638	0,01823333
1,1	14,54512	0,0184
1,11	14,67864	0,01856667
1,12	14,80897	0,01873333
1,13	14,925	0,0189
1,14	15,04421	0,01906667
1,15	15,17773	0,01923333
1,16	15,32714	0,0194
1,17	15,47654	0,01956667
1,18	15,61642	0,01973333
1,19	15,74039	0,0199
1,2	15,86596	0,02006667
1,21	16,00107	0,02023333
1,22	16,14094	0,0204
1,23	16,27604	0,02056667
1,24	16,41273	0,02073333
1,25	16,56214	0,0209
1,26	16,71473	0,02106667
1,27	16,85301	0,02123333
1,28	16,98017	0,0214
1,29	17,10256	0,02156667
1,3	17,22813	0,02173333
1,31	17,35846	0,0219
1,32	17,49357	0,02206667
1,33	17,63821	0,02223333
1,34	17,78285	0,0224
1,35	17,91318	0,02256667
1,36	18,03557	0,02273333
1,37	18,16591	0,0229
1,38	18,30896	0,02306667
1,39	18,45678	0,02323333
1,4	18,59506	0,0234
1,41	18,73175	0,02356667
1,42	18,87163	0,02373333
1,43	19,02262	0,0239
1,44	19,16885	0,0241
1,45	19,31508	0,02423333
1,46	19,45178	0,0244
1,47	19,57417	0,02456667
1,48	19,69814	0,02473333
1,49	19,83961	0,0249
1,5	19,98742	0,02506667
1,51	20,11776	0,02523333
1,52	20,23379	0,02543333
1,53	20,35936	0,02556667
1,54	20,50082	0,02573333
1,55	20,65341	0,0259
1,56	20,79964	0,02606667
1,57	20,93474	0,02623333
1,58	21,06667	0,0264
1,59	21,20495	0,02656667
1,6	21,348	0,02673333
1,61	21,48787	0,0269
1,62	21,61185	0,0271
1,63	21,73742	0,02723333
1,64	21,8598	0,0274
1,65	21,97901	0,02756667
1,66	22,10776	0,02773333
1,67	22,24922	0,0279
1,68	22,38909	0,02806667
1,69	22,52261	0,02823333
1,7	22,6593	0,0284
1,71	22,80553	0,02856667
1,72	22,95812	0,02873333
1,73	23,10276	0,0289
1,74	23,24263	0,02906667
1,75	23,38251	0,02923333
1,76	23,52079	0,0294
1,77	23,65112	0,02956667
1,78	23,77033	0,02973333
1,79	23,88954	0,0299
1,8	24,02306	0,03006667
1,81	24,18041	0,03023333
1,82	24,33936	0,0304
1,83	24,48082	0,03056667
1,84	24,61115	0,03073333
1,85	24,73513	0,0309
1,86	24,85593	0,03106667
1,87	24,97196	0,03123333
1,88	25,10548	0,0314
1,89	25,25171	0,03156667
1,9	25,40112	0,03173333
1,91	25,54258	0,0319
1,92	25,67291	0,03206667
1,93	25,80643	0,03223334
1,94	25,93994	0,03243333
1,95	26,07504	0,03256667
1,96	26,21492	0,03273333
1,97	26,34525	0,0329
1,98	26,46764	0,03306667
1,99	26,59162	0,03323333
2	26,72513	0,0334
2,01	26,86342	0,0336
2,02	27,00011	0,03373333
2,03	27,13045	0,0339
2,04	27,2576	0,03406667
2,05	27,39112	0,03423334
2,06	27,5437	0,0344
2,07	27,70424	0,03456667
2,08	27,85365	0,03473333
2,09	27,97286	0,0349
2,1	28,07935	0,03506667
2,11	28,19379	0,03523333
2,12	28,33525	0,0354
2,13	28,49738	0,03556667
2,14	28,66109	0,03576667
2,15	28,80255	0,0359
2,16	28,91858	0,03606667
2,17	29,03938	0,03623333
2,18	29,17131	0,03643334
2,19	29,31595	0,03656667
2,2	29,45423	0,03673333
2,21	29,5798	0,0369
2,22	29,69583	0,03706667
2,23	29,81663	0,03723333
2,24	29,95014	0,0374
2,25	30,1075	0,03756667
2,26	30,2728	0,03776667
2,27	30,41744	0,0379
2,28	30,53665	0,03806667
2,29	30,64791	0,03826667
2,3	30,77507	0,0384
2,31	30,92289	0,03856667
2,32	31,07548	0,03873333
2,33	31,21058	0,0389
2,34	31,33615	0,0391
2,35	31,46013	0,03923333
2,36	31,6	0,0394
2,37	31,74941	0,03956667
2,38	31,89564	0,03973334
2,39	32,02597	0,0399
2,4	32,14836	0,04006667
2,41	32,27552	0,04023333
2,42	32,42016	0,0404
2,43	32,57751	0,04056667
2,44	32,73487	0,04073333
2,45	32,87474	0,0409
2,46	32,99395	0,04106667
2,47	33,11316	0,04123333
2,48	33,2435	0,0414
2,49	33,38496	0,04156667
2,5	33,52324	0,04173333
2,51	33,65676	0,0419
2,52	33,78709	0,04206667
2,53	33,91266	0,04223333
2,54	34,03823	0,0424
2,55	34,17969	0,04256667
2,56	34,34181	0,04273333
2,57	34,4944	0,0429
2,58	34,62156	0,04306667
2,59	34,74236	0,04323334
2,6	34,87428	0,0434
2,61	35,03323	0,04356667
2,62	35,2033	0,04373333
2,63	35,36224	0,0439
2,64	35,4894	0,04406667
2,65	35,60543	0,04423333
2,66	35,731	0,0444
2,67	35,86928	0,04456667
2,68	35,99803	0,04473333
2,69	36,11406	0,0449
2,7	36,23645	0,04506667
2,71	36,37791	0,04523334
2,72	36,53526	0,0454
2,73	36,6958	0,04556667
2,74	36,84521	0,04573333
2,75	36,97554	0,0459
2,76	37,10111	0,04606667
2,77	37,2378	0,04623333
2,78	37,38721	0,0464
2,79	37,53344	0,04656667
2,8	37,66378	0,04673333
2,81	37,78299	0,0469
2,82	37,91332	0,04706667
2,83	38,05796	0,04723334
2,84	38,21373	0,0474
2,85	38,36314	0,04756667
2,86	38,49824	0,04773333
2,87	38,61745	0,0479
2,88	38,73825	0,04806667
2,89	38,86541	0,04823333
2,9	39,00369	0,0484
2,91	39,14197	0,04856667
2,92	39,26436	0,04873333
2,93	39,38198	0,0489
2,94	39,51709	0,04906667
2,95	39,6951	0,04923333
2,96	39,88425	0,0494
2,97	40,04002	0,04956667
2,98	40,14651	0,04973333
2,99	40,24665	0,0499
3	40,38175	0,05006667
3,01	40,54864	0,05023333
3,02	40,706	0,0504
3,03	40,82044	0,05056667
3,04	40,90945	0,05073334
3,05	41,02071	0,0509
3,06	41,1876	0,05106667
3,07	41,37993	0,05123333
3,08	41,55159	0,0514
3,09	41,67875	0,05156667
